(declarar,30)
({,27)
(numerico,01)
(0,99)
(;,04)
(numerico,01)
(1,99)
(;,04)
(numerico,01)
(2,99)
(;,04)
(string,03)
(3,99)
(;,04)
(},28)
(3,99)
(=,05)
(",20)
(Nome,97)
(",20)
(;,04)
(0,99)
(=,05)
(10,98)
(;,04)
(1,99)
(=,05)
(2,98)
(+,06)
(5,98)
(;,04)
(4,99)
(=,05)
(10,98)
(;,04)
(se,13)
((,17)
(1,99)
(>,10)
(=,05)
(15,98)
(),18)
({,27)
(2,99)
(=,05)
(0,99)
(+,06)
(1,99)
(;,04)
(escreva,19)
(2,99)
(;,04)
(},28)
(senao,15)
({,27)
(escreva,19)
(",20)
(B,97)
(eh,97)
(menor,97)
(que,97)
(15,97)
(",20)
(;,04)
(},28)
(para,21)
((,17)
(0,99)
(;,04)
(0,99)
(<,11)
(=,05)
(10,98)
(;,04)
(0,99)
(+,06)
(=,05)
(1,98)
(),18)
({,27)
(escreva,19)
(",20)
(oi,97)
(",20)
(;,04)
(break,29)
(;,04)
(},28)
